Accession	Begin	End	Chromosome	Orientation	Name	Symbol	Gene ID	Gene Type	Transcripts accession	Protein accession	Protein length	Locus tag
NZ_ARQK01000025.1	15709	16314		plus	DUF2459 domain-containing protein		0	protein-coding		WP_026279126.1	201	G372_RS0101065
NZ_ARQK01000025.1	16322	17788		minus	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase	dacB	0	protein-coding		WP_020008808.1	488	G372_RS0101070
NZ_ARQK01000025.1	17909	18874		minus	EF-P lysine aminoacylase EpmA	epmA	0	protein-coding		WP_018865369.1	321	G372_RS0101075
NZ_ARQK01000025.1	18894	19457		minus	elongation factor P	efp	0	protein-coding		WP_018865368.1	187	G372_RS0101080
NZ_ARQK01000025.1	19521	20585		plus	EF-P beta-lysylation protein EpmB	epmB	0	protein-coding		WP_019623721.1	354	G372_RS0101085
NZ_ARQK01000025.1	20680	22521		plus	PilZ domain-containing protein		0	protein-coding		WP_019623722.1	613	G372_RS0101090
NZ_ARQK01000025.1	22518	24590		plus	EAL domain-containing protein		0	protein-coding		WP_019623723.1	690	G372_RS0101095
NZ_ARQK01000026.1	297	554		minus	YcgL domain-containing protein		0	protein-coding		WP_018863119.1	85	G372_RS0101100
NZ_ARQK01000026.1	559	2463		minus	biosynthetic arginine decarboxylase	speA	0	protein-coding		WP_018863120.1	634	G372_RS0101105
NZ_ARQK01000026.1	2777	3628		plus	polyamine aminopropyltransferase	speE	0	protein-coding		WP_019623742.1	283	G372_RS0101110
NZ_ARQK01000026.1	3824	4630		minus	iron export ABC transporter permease subunit FetB	fetB	0	protein-coding		WP_019623743.1	268	G372_RS0101115
NZ_ARQK01000026.1	4621	5241		minus	ATP-binding cassette domain-containing protein		0	protein-coding		WP_018863123.1	206	G372_RS0101120
NZ_ARQK01000026.1	5585	6838		minus	ammonium transporter		0	protein-coding		WP_018863124.1	417	G372_RS0101125
NZ_ARQK01000026.1	6876	7214		minus	P-II family nitrogen regulator		0	protein-coding		WP_012981610.1	112	G372_RS0101130
NZ_ARQK01000026.1	7280	7996		minus	TorF family putative porin		0	protein-coding		WP_018863125.1	238	G372_RS0101135
NZ_ARQK01000026.1	8251	8616		minus	dihydroneopterin aldolase	folB	0	protein-coding		WP_019623744.1	121	G372_RS0101140
NZ_ARQK01000026.1	8728	9720		plus	amidoligase family protein		0	protein-coding		WP_019623745.1	330	G372_RS0101145
NZ_ARQK01000026.1	9707	10531		plus	gamma-glutamyl-gamma-aminobutyrate hydrolase family protein		0	protein-coding		WP_012981606.1	274	G372_RS0101150
NZ_ARQK01000026.1	10532	11713		minus	NO-inducible flavohemoprotein	hmpA	0	protein-coding		WP_019623746.1	393	G372_RS0101155
NZ_ARQK01000026.1	11934	12551		minus	hypothetical protein		0	protein-coding		WP_019623747.1	205	G372_RS0101160
NZ_ARQK01000026.1	12551	13162		minus	SCO family protein		0	protein-coding		WP_019623748.1	203	G372_RS0101165
NZ_ARQK01000026.1	13152	14603		minus	cbb3-type cytochrome c oxidase subunit I		0	protein-coding		WP_019623749.1	483	G372_RS0101170
NZ_ARQK01000026.1	14610	15128		minus	hypothetical protein		0	protein-coding		WP_019623750.1	172	G372_RS0101175
NZ_ARQK01000026.1	15286	16164		plus	acetylglutamate kinase	argB	0	protein-coding		WP_018863130.1	292	G372_RS0101180
NZ_ARQK01000026.1	16188	16844		minus	DUF4124 domain-containing protein		0	protein-coding		WP_038070465.1	218	G372_RS0101185
NZ_ARQK01000026.1	16837	17598		plus	sulfite exporter TauE/SafE family protein		0	protein-coding		WP_019623752.1	253	G372_RS0101190
NZ_ARQK01000026.1	17674	21465		minus	methionine synthase	metH	0	protein-coding		WP_019623753.1	1263	G372_RS0101195
NZ_ARQK01000026.1	21623	22363		plus	arginyltransferase		0	protein-coding		WP_019623754.1	246	G372_RS0101200
NZ_ARQK01000026.1	22391	23239		minus	methyltransferase domain-containing protein		0	protein-coding		WP_018863135.1	282	G372_RS0101205
NZ_ARQK01000026.1	23236	24054		minus	class I SAM-dependent methyltransferase		0	protein-coding		WP_019623755.1	272	G372_RS0101210
NZ_ARQK01000026.1	24554	26119		plus	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase	purH	0	protein-coding		WP_019623756.1	521	G372_RS0101215
NZ_ARQK01000026.1	26128	27417		plus	phosphoribosylamine--glycine ligase	purD	0	protein-coding		WP_019623757.1	429	G372_RS0101220
NZ_ARQK01000027.1	215	304		minus	tRNA-Ser		0	tRNA				G372_RS0101225
NZ_ARQK01000027.1	365	1834		minus	4-alpha-glucanotransferase	malQ	0	protein-coding		WP_019624410.1	489	G372_RS0101230
NZ_ARQK01000027.1	1834	3513		minus	glycoside hydrolase family 57 protein		0	protein-coding		WP_019624411.1	559	G372_RS0101235
NZ_ARQK01000027.1	3566	4831		minus	glucose-1-phosphate adenylyltransferase	glgC	0	protein-coding		WP_019624412.1	421	G372_RS0101240
NZ_ARQK01000027.1	4900	7110		plus	1,4-alpha-glucan branching protein GlgB	glgB	0	protein-coding		WP_026279040.1	736	G372_RS0101245
NZ_ARQK01000027.1	7390	7821		minus	restriction endonuclease		0	protein-coding		WP_019624413.1	143	G372_RS0101250
NZ_ARQK01000027.1	8072	8341		minus	type II toxin-antitoxin system RelE/ParE family toxin		0	protein-coding		WP_019624414.1	89	G372_RS0101255
NZ_ARQK01000027.1	8325	8549		minus	DUF6290 family protein		0	protein-coding		WP_018865204.1	74	G372_RS0101260
NZ_ARQK01000027.1	8876	9112		plus	type II toxin-antitoxin system prevent-host-death family antitoxin		0	protein-coding		WP_018865203.1	78	G372_RS0101265
NZ_ARQK01000027.1	9112	9546		plus	type II toxin-antitoxin system VapC family toxin		0	protein-coding		WP_019624415.1	144	G372_RS0101270
NZ_ARQK01000027.1	9683	10630		minus	NAD-dependent epimerase/dehydratase family protein		0	protein-coding		WP_019624416.1	315	G372_RS0101275
NZ_ARQK01000027.1	10644	11453		minus	glycosyltransferase		0	protein-coding		WP_019624417.1	269	G372_RS0101280
NZ_ARQK01000027.1	11515	12924		minus	DUF234 domain-containing protein		0	protein-coding		WP_019624418.1	469	G372_RS0101285
NZ_ARQK01000027.1	13050	13235		minus	glycosyltransferase family A protein		0	protein-coding		WP_279625228.1	61	G372_RS0101290
NZ_ARQK01000027.1	13513	14004		minus	hypothetical protein		0	protein-coding		WP_156824353.1	163	G372_RS14135
NZ_ARQK01000027.1	14496	16502		minus	glycosyltransferase		0	protein-coding		WP_081621279.1	668	G372_RS13725
NZ_ARQK01000027.1	16756	18264		minus	glycosyltransferase		0	protein-coding		WP_019624420.1	502	G372_RS0101295
NZ_ARQK01000027.1	18356	18904		minus	dTDP-4-dehydrorhamnose 3,5-epimerase	rfbC	0	protein-coding		WP_019624421.1	182	G372_RS0101300
NZ_ARQK01000027.1	18960	19844		minus	glucose-1-phosphate thymidylyltransferase RfbA	rfbA	0	protein-coding		WP_026340404.1	294	G372_RS0101305
NZ_ARQK01000027.1	19870	21066		minus	hypothetical protein		0	protein-coding		WP_244263176.1	398	G372_RS0101310
NZ_ARQK01000027.1	21141	21848		minus	hypothetical protein		0	protein-coding		WP_244263177.1	235	G372_RS0101315
NZ_ARQK01000027.1	21879	22823		minus	class I SAM-dependent methyltransferase		0	protein-coding		WP_019624425.1	314	G372_RS0101320
NZ_ARQK01000027.1	22866	23795		minus	dTDP-4-dehydrorhamnose reductase	rfbD	0	protein-coding		WP_019624426.1	309	G372_RS0101325
NZ_ARQK01000027.1	23758	24873		minus	dTDP-glucose 4,6-dehydratase	rfbB	0	protein-coding		WP_208854339.1	371	G372_RS0101330
NZ_ARQK01000027.1	24914	29170		minus	glycosyltransferase		0	protein-coding		WP_244263178.1	1418	G372_RS0101335
NZ_ARQK01000027.1	29290	30219		minus	glycosyltransferase family A protein		0	protein-coding		WP_026340406.1	309	G372_RS0101340
NZ_ARQK01000027.1	30216	31910		minus	phosphotransferase		0	protein-coding		WP_019624430.1	564	G372_RS0101345
NZ_ARQK01000028.1	233	1189		minus	lipoyl synthase	lipA	0	protein-coding		WP_018863566.1	318	G372_RS0101350
NZ_ARQK01000028.1	1256	2455		minus	HDOD domain-containing protein		0	protein-coding		WP_026340436.1	399	G372_RS0101355
NZ_ARQK01000028.1	2469	3680		minus	HDOD domain-containing protein		0	protein-coding		WP_019624683.1	403	G372_RS0101360
NZ_ARQK01000028.1	3775	4359		minus	hypothetical protein		0	protein-coding		WP_019624682.1	194	G372_RS0101365
NZ_ARQK01000028.1	4356	4760		minus	hypothetical protein		0	protein-coding		WP_018863570.1	134	G372_RS0101370
NZ_ARQK01000028.1	4774	5013		minus	BolA/IbaG family iron-sulfur metabolism protein		0	protein-coding		WP_017925704.1	79	G372_RS0101375
NZ_ARQK01000028.1	5244	5996		plus	MBL fold metallo-hydrolase		0	protein-coding		WP_018138074.1	250	G372_RS0101380
NZ_ARQK01000028.1	6093	6920		plus	nucleoside triphosphate pyrophosphohydrolase	mazG	0	protein-coding		WP_019624681.1	275	G372_RS0101385
NZ_ARQK01000028.1	6917	7645		plus	FAD-dependent oxidoreductase		0	protein-coding		WP_019624680.1	242	G372_RS0101390
NZ_ARQK01000028.1	7787	9427		minus	L-aspartate oxidase	nadB	0	protein-coding		WP_026278913.1	546	G372_RS0101395
NZ_ARQK01000028.1	9572	10153		plus	RNA polymerase sigma factor RpoE	rpoE	0	protein-coding		WP_018863575.1	193	G372_RS0101400
NZ_ARQK01000028.1	10165	10734		plus	sigma-E factor negative regulatory protein		0	protein-coding		WP_018863576.1	189	G372_RS0101405
NZ_ARQK01000028.1	10741	11727		plus	MucB/RseB C-terminal domain-containing protein		0	protein-coding		WP_018863577.1	328	G372_RS0101410
NZ_ARQK01000028.1	11733	12218		plus	SoxR reducing system RseC family protein		0	protein-coding		WP_019624678.1	161	G372_RS0101415
NZ_ARQK01000028.1	12295	13716		plus	DegQ family serine endoprotease		0	protein-coding		WP_019624677.1	473	G372_RS0101420
NZ_ARQK01000028.1	13769	14008		plus	glutaredoxin family protein		0	protein-coding		WP_026301101.1	79	G372_RS0101425
NZ_ARQK01000028.1	14005	15810		plus	translation elongation factor 4	lepA	0	protein-coding		WP_019624675.1	601	G372_RS0101430
NZ_ARQK01000028.1	15862	16632		plus	signal peptidase I	lepB	0	protein-coding		WP_018863582.1	256	G372_RS0101435
NZ_ARQK01000028.1	16686	17042		plus	DUF4845 domain-containing protein		0	protein-coding		WP_018863583.1	118	G372_RS0101440
NZ_ARQK01000028.1	17058	17765		plus	ribonuclease III	rnc	0	protein-coding		WP_026278916.1	235	G372_RS0101445
NZ_ARQK01000028.1	17771	18682		plus	GTPase Era	era	0	protein-coding		WP_018863585.1	303	G372_RS0101450
NZ_ARQK01000028.1	18699	19358		plus	recombination protein O N-terminal domain-containing protein		0	protein-coding		WP_018863586.1	219	G372_RS0101455
NZ_ARQK01000028.1	19395	20162		plus	pyridoxine 5'-phosphate synthase		0	protein-coding		WP_018863587.1	255	G372_RS0101460
NZ_ARQK01000028.1	20170	20550		plus	holo-ACP synthase	acpS	0	protein-coding		WP_018863588.1	126	G372_RS0101465
NZ_ARQK01000028.1	20675	21892		plus	FtsH protease activity modulator HflK	hflK	0	protein-coding		WP_026278918.1	405	G372_RS0101470
NZ_ARQK01000028.1	21892	22776		plus	protease modulator HflC	hflC	0	protein-coding		WP_018863590.1	294	G372_RS0101475
NZ_ARQK01000028.1	22906	24090		plus	ATP phosphoribosyltransferase regulatory subunit		0	protein-coding		WP_019624673.1	394	G372_RS0101480
NZ_ARQK01000028.1	24095	25390		plus	adenylosuccinate synthase		0	protein-coding		WP_019624672.1	431	G372_RS0101485
NZ_ARQK01000028.1	25543	25629		minus	tRNA-Leu		0	tRNA				G372_RS0101490
NZ_ARQK01000028.1	25871	28354		plus	ribonuclease R	rnr	0	protein-coding		WP_018863593.1	827	G372_RS0101495
NZ_ARQK01000028.1	28369	29124		plus	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB	0	protein-coding		WP_018863594.1	251	G372_RS0101500
NZ_ARQK01000028.1	29532	29999		plus	cytochrome c		0	protein-coding		WP_018863595.1	155	G372_RS0101505
NZ_ARQK01000028.1	30165	30569		plus	30S ribosomal protein S6	rpsF	0	protein-coding		WP_018863596.1	134	G372_RS0101510
NZ_ARQK01000028.1	30612	30836		plus	30S ribosomal protein S18	rpsR	0	protein-coding		WP_012983300.1	74	G372_RS0101515
NZ_ARQK01000028.1	30868	31815		plus	hypothetical protein		0	protein-coding		WP_018863597.1	315	G372_RS0101520
NZ_ARQK01000028.1	31884	32333		plus	50S ribosomal protein L9	rplI	0	protein-coding		WP_018863598.1	149	G372_RS0101525
NZ_ARQK01000028.1	32419	33783		plus	replicative DNA helicase	dnaB	0	protein-coding		WP_018863599.1	454	G372_RS0101530
NZ_ARQK01000028.1	33792	34901		plus	alanine racemase	alr	0	protein-coding		WP_018863600.1	369	G372_RS0101535
NZ_ARQK01000029.1	1	324		plus	IS110 family transposase		0	protein-coding		WP_020008811.1	107	G372_RS0101540
NZ_ARQK01000029.1	395	775		minus	type II toxin-antitoxin system VapC family toxin		0	protein-coding		WP_019624825.1	126	G372_RS0101545
NZ_ARQK01000029.1	775	1020		minus	type II toxin-antitoxin system prevent-host-death family antitoxin		0	protein-coding		WP_019624826.1	81	G372_RS0101550
NZ_ARQK01000029.1	1200	1739		minus	protein disulfide oxidoreductase		0	protein-coding		WP_019624827.1	179	G372_RS0101555
NZ_ARQK01000029.1	1736	2167		minus	hypothetical protein		0	protein-coding		WP_019624828.1	143	G372_RS0101560
NZ_ARQK01000029.1	2302	3384		plus	quinolinate synthase NadA	nadA	0	protein-coding		WP_018863107.1	360	G372_RS0101565
NZ_ARQK01000029.1	3490	3696		minus	hypothetical protein		0	protein-coding		WP_019624829.1	68	G372_RS0101570
NZ_ARQK01000029.1	4053	4430		plus	hypothetical protein		0	protein-coding		WP_018863105.1	125	G372_RS0101575
NZ_ARQK01000029.1	4525	5055		minus	hypothetical protein		0	protein-coding		WP_018863104.1	176	G372_RS0101580
NZ_ARQK01000029.1	5165	5746		minus	thioredoxin family protein		0	protein-coding		WP_018863103.1	193	G372_RS0101585
NZ_ARQK01000029.1	5896	6636		plus	ferredoxin--NADP reductase		0	protein-coding		WP_018863102.1	246	G372_RS0101590
NZ_ARQK01000029.1	6741	7511		minus	alpha/beta fold hydrolase		0	protein-coding		WP_018863101.1	256	G372_RS0101595
NZ_ARQK01000029.1	7901	8101		plus	DUF465 domain-containing protein		0	protein-coding		WP_018863100.1	66	G372_RS0101600
NZ_ARQK01000029.1	8180	9475		minus	NAD(P)/FAD-dependent oxidoreductase		0	protein-coding		WP_018863099.1	431	G372_RS0101605
NZ_ARQK01000029.1	9495	9809		minus	c-type cytochrome		0	protein-coding		WP_018863098.1	104	G372_RS0101610
NZ_ARQK01000029.1	10036	10347		plus	PilZ domain-containing protein		0	protein-coding		WP_018863097.1	103	G372_RS0101615
NZ_ARQK01000029.1	10381	10773		minus	DUF3775 domain-containing protein		0	protein-coding		WP_018863096.1	130	G372_RS0101620
NZ_ARQK01000029.1	10781	11095		minus	DUF2288 domain-containing protein		0	protein-coding		WP_018863095.1	104	G372_RS0101625
NZ_ARQK01000029.1	11192	11518		plus	hypothetical protein		0	protein-coding		WP_019624830.1	108	G372_RS0101630
NZ_ARQK01000029.1	11515	12231		plus	response regulator transcription factor		0	protein-coding		WP_018863093.1	238	G372_RS0101635
NZ_ARQK01000029.1	12272	13594		plus	HAMP domain-containing sensor histidine kinase		0	protein-coding		WP_019624831.1	440	G372_RS0101640
NZ_ARQK01000029.1	13712	14968		minus	FAD-dependent oxidoreductase		0	protein-coding		WP_019624832.1	418	G372_RS0101645
NZ_ARQK01000029.1	14994	18917		minus	ATP-dependent RNA helicase HrpA	hrpA	0	protein-coding		WP_019624833.1	1307	G372_RS0101650
NZ_ARQK01000029.1	18917	19501		minus	SPOR domain-containing protein		0	protein-coding		WP_019624834.1	194	G372_RS0101655
NZ_ARQK01000029.1	19505	21268		minus	arginine--tRNA ligase	argS	0	protein-coding		WP_019624835.1	587	G372_RS0101660
NZ_ARQK01000029.1	21344	23539		minus	primosomal protein N'		0	protein-coding		WP_019624836.1	731	G372_RS0101665
NZ_ARQK01000029.1	23917	25305		minus	NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta		0	protein-coding		WP_018863086.1	462	G372_RS0101670
NZ_ARQK01000029.1	25302	25613		minus	NAD(P) transhydrogenase subunit alpha		0	protein-coding		WP_018863085.1	103	G372_RS0101675
NZ_ARQK01000029.1	25610	26743		minus	NAD(P) transhydrogenase subunit alpha		0	protein-coding		WP_018863084.1	377	G372_RS0101680
NZ_ARQK01000029.1	27135	27716		plus	HNH endonuclease		0	protein-coding		WP_018863083.1	193	G372_RS0101685
NZ_ARQK01000029.1	27826	28920		plus	ferrochelatase	hemH	0	protein-coding		WP_019624838.1	364	G372_RS0101690
NZ_ARQK01000029.1	28927	29706		plus	molybdopterin-binding protein		0	protein-coding		WP_019624839.1	259	G372_RS0101695
NZ_ARQK01000029.1	29825	30544		plus	2OG-Fe(II) oxygenase		0	protein-coding		WP_019624840.1	239	G372_RS0101700
NZ_ARQK01000029.1	30644	32779		plus	adenosylcobalamin-dependent ribonucleoside-diphosphate reductase		0	protein-coding		WP_026340448.1	711	G372_RS0101705
NZ_ARQK01000029.1	32799	33500		plus	hypothetical protein		0	protein-coding		WP_019624842.1	233	G372_RS0101710
NZ_ARQK01000029.1	33521	34315		minus	arginine deiminase family protein		0	protein-coding		WP_019624843.1	264	G372_RS0101715
NZ_ARQK01000029.1	34612	35040		plus	hypothetical protein		0	protein-coding		WP_019624844.1	142	G372_RS0101720
NZ_ARQK01000030.1	245	1327		minus	prephenate dehydratase	pheA	0	protein-coding		WP_019624248.1	360	G372_RS0101725
NZ_ARQK01000030.1	1364	2527		minus	3-phosphoglycerate dehydrogenase family protein		0	protein-coding		WP_018864323.1	387	G372_RS0101730
NZ_ARQK01000030.1	2565	3650		minus	3-phosphoserine/phosphohydroxythreonine transaminase	serC	0	protein-coding		WP_018864324.1	361	G372_RS0101735
NZ_ARQK01000030.1	3647	6253		minus	DNA gyrase subunit A	gyrA	0	protein-coding		WP_019624249.1	868	G372_RS0101740
NZ_ARQK01000030.1	6393	7472		minus	S-methyl-5-thioribose-1-phosphate isomerase	mtnA	0	protein-coding		WP_019624250.1	359	G372_RS0101745
NZ_ARQK01000030.1	7485	9836		minus	DNA internalization-related competence protein ComEC/Rec2		0	protein-coding		WP_038070603.1	783	G372_RS0101750
NZ_ARQK01000030.1	9950	10516		plus	DUF2062 domain-containing protein		0	protein-coding		WP_018864328.1	188	G372_RS0101755
NZ_ARQK01000030.1	10583	11299		minus	ATP-binding cassette domain-containing protein		0	protein-coding		WP_026279009.1	238	G372_RS0101760
NZ_ARQK01000030.1	11292	12542		minus	lipoprotein-releasing ABC transporter permease subunit		0	protein-coding		WP_018864330.1	416	G372_RS0101765
NZ_ARQK01000030.1	12673	13032		plus	hypothetical protein		0	protein-coding		WP_167539412.1	119	G372_RS0101770
NZ_ARQK01000030.1	13029	14099		plus	agmatine deiminase family protein		0	protein-coding		WP_019624253.1	356	G372_RS0101775
NZ_ARQK01000030.1	14106	15005		plus	carbon-nitrogen hydrolase		0	protein-coding		WP_019624254.1	299	G372_RS0101780
NZ_ARQK01000030.1	15096	18569		plus	transcription-repair coupling factor	mfd	0	protein-coding		WP_019624255.1	1157	G372_RS0101785
NZ_ARQK01000030.1	18570	19232		plus	CsiV family protein		0	protein-coding		WP_019624256.1	220	G372_RS0101790
NZ_ARQK01000030.1	19272	20237		minus	S49 family peptidase		0	protein-coding		WP_019624257.1	321	G372_RS0101795
NZ_ARQK01000030.1	20247	20945		minus	HAD-IA family hydrolase		0	protein-coding		WP_018864337.1	232	G372_RS0101800
NZ_ARQK01000030.1	20942	21928		minus	RluA family pseudouridine synthase		0	protein-coding		WP_026340384.1	328	G372_RS0101805
NZ_ARQK01000030.1	22361	25237		plus	Rne/Rng family ribonuclease		0	protein-coding		WP_019624259.1	958	G372_RS0101810
NZ_ARQK01000030.1	25318	25812		minus	low molecular weight protein-tyrosine-phosphatase		0	protein-coding		WP_019624260.1	164	G372_RS0101815
NZ_ARQK01000030.1	26038	27291		plus	flagellar hook-length control protein FliK		0	protein-coding		WP_026340385.1	417	G372_RS0101820
NZ_ARQK01000030.1	27296	27655		plus	EscU/YscU/HrcU family type III secretion system export apparatus switch protein		0	protein-coding		WP_018864342.1	119	G372_RS0101825
NZ_ARQK01000030.1	27672	28091		minus	DUF2802 domain-containing protein		0	protein-coding		WP_018864343.1	139	G372_RS0101830
NZ_ARQK01000030.1	28186	28410		minus	hypothetical protein		0	protein-coding		WP_018864344.1	74	G372_RS0101835
NZ_ARQK01000030.1	28508	28966		minus	chemotaxis protein CheW		0	protein-coding		WP_018864345.1	152	G372_RS0101840
NZ_ARQK01000030.1	29052	29783		minus	chemotaxis protein CheW		0	protein-coding		WP_018864346.1	243	G372_RS0101845
NZ_ARQK01000030.1	29780	30580		minus	ParA family protein		0	protein-coding		WP_018864347.1	266	G372_RS0101850
NZ_ARQK01000030.1	30577	31494		minus	flagellar motor protein MotD	motD	0	protein-coding		WP_018864348.1	305	G372_RS0101855
NZ_ARQK01000030.1	31502	32245		minus	flagellar motor protein		0	protein-coding		WP_018864349.1	247	G372_RS0101860
